name,operator,output,source,method,wikidata_id,latitude,longitude
"Parc éolien Le-Nordais (Cap-Chat)","TransAlta","56 MW","wind",,Q3588993,,
"McArthur Generating Station","Manitoba Hydro","55 MW","hydro","run-of-the-river",Q65211713,,
"Lower Bonnington Generating Station","FortisBC","54 MW","hydro","run-of-the-river",Q61162277,,
"Loyalist Solar","BluEarth Renewables","54 MW","solar","photovoltaic",,,
"Parc éolien du Mont-Copper","NextEra Energie Canada","54 MW","wind",,Q3588993,,
"Parc éolien du Mont-Miller","NextEra Energie Canada","54 MW","wind",,Q3588993,,
"South Slocan Generating Station","FortisBC","54 MW","hydro","run-of-the-river",Q61162267,,
"Whatshan Dam","BC Hydro","54 MW","hydro","water-storage",,,
"Centrale Murdock Wilson","Resolute Forest Products","53 MW","hydro",,Q65212744,,
"Centrale de la Hart-Jaune","Hydro-Québec","51 MW","hydro",,Q2944500,,
"Dalhousie Mountain Wind Farm","RMS Energy","51 MW","wind","wind_turbine",,,
"Fort Frances Mill Power Plant",,"50 MW","biomass",,,,
"Mamquam Generating Station","Atlantic Power","50 MW","hydro",,,,
"Maritime Electric Diesel Generator","Maritime Electric","50 MW","diesel","combustion",,,
"Rundle Hydro Plant","TransAlta","50 MW","hydro","water-storage",,,
"Southgate Solar","Southgate Solar LP (Samsung)","50 MW","solar","photovoltaic",,,
"Stephenville Turbine Station","Newfoundland and Labrador Hydro","50 MW","diesel","combustion",,,
"Wheatcrest Solar Project","BluEarth Renewables","50 MW","solar","photovoltaic",,,
"Windsor Solar Farm","Samsung Renewable Energy","50 MW","solar","photovoltaic",,,
"Windsor Solar Project","Samsung Renewable Energy","50 MW","solar","photovoltaic",,,
"[unnamed]","TransAlta","50 MW","hydro","water-storage",,,
"Ashlu Creek Generating Station","Innergex","49.90 MW","hydro",,Q61375494,,
"Rutherford Creek",,"49.90 MW","hydro",,,,
"Nutby Mountain Wind","Nova Scotia Power","49.50 MW","wind","wind_turbine",,,
"Corra Linn Generating Station","FortisBC","49.00 MW","hydro","water-storage",,,
"Silver Falls Generating Station","Ontario Power Generation","48.00 MW","hydro","water-storage",,,
"Andrews Generating Station","Brookfield Renewable Energy","47.00 MW","hydro","run-of-the-river",,,
"Oldman 2 Wind Farm","Apex Wind Energy","46.00 MW","wind",,,,
"Lamèque Wind Farm","Acciona","45.00 MW","wind",,,,
